Stkcd,Company_name,Year,Tier,Total_assets,Total_liabilities,Operating_income,Net_profit,Equity,Debt_to_Asset_Ratio,Equity_Ratio,ROE,ROA,Profit_Margin,Asset_Scale_Trillion
601166,XYYH,2024,Large (>5T),10507898000000.0,9614287000000.0,5561000000.0,893611000000.0,11703000000.0,0.9149581581397155,0.0011137336886977776,76.35742971887551,0.08504184186028452,160.6925013486783,10.507898
601169,BJYH,2020,Mid-size (1T-5T),2900014000000.0,2678871000000.0,1152000000.0,221143000000.0,1924000000.0,0.9237441612350837,0.0006634450730237854,114.9391891891892,0.0762558387649163,191.96440972222223,2.900014
601169,BJYH,2021,Mid-size (1T-5T),3059046000000.0,2832018000000.0,1287000000.0,227028000000.0,1954000000.0,0.9257847054277706,0.000638761234711737,116.18628454452406,0.07421529457222938,176.4009324009324,3.059046
601169,BJYH,2022,Mid-size (1T-5T),3387952000000.0,3077335000000.0,257000000.0,310617000000.0,2144000000.0,0.9083171780473868,0.0006328306894548683,144.87733208955223,0.09168282195261326,1208.6264591439688,3.387952
601169,BJYH,2023,Mid-size (1T-5T),3748679000000.0,3420447000000.0,2985000000.0,328232000000.0,1317000000.0,0.91244062241659,0.0003513237596497326,249.22703113135915,0.08755937758341005,109.9604690117253,3.748679
601169,BJYH,2024,Mid-size (1T-5T),4221542000000.0,3863202000000.0,9910000000.0,358340000000.0,1269000000.0,0.915116324793168,0.0003006010599918229,282.3798266351458,0.084883675206832,36.15943491422805,4.221542
601187,XMYH,2020,Regional (<1T),285150280444.13,265476650518.17,4531769.79,19673629925.96,310365602.16,0.9310061000279651,0.0010884281848735917,63.388564290116875,0.06899389997203488,4341.268607547692,0.28515028044413
601187,XMYH,2021,Regional (<1T),329494574405.99,306229296015.32,252178027.55,23265278390.67,507999712.73,0.9293910121809671,0.0015417544086903936,45.797818005923574,0.07060898781903296,92.2573572991292,0.32949457440599
601187,XMYH,2022,Regional (<1T),371208018622.35,346464169116.75,-39410194.67,24743849505.6,551857969.74,0.9333423625991947,0.001486654226350199,44.83735102576793,0.06665763740080534,-627.854028958543,0.37120801862235
601187,XMYH,2023,Regional (<1T),390663859002.12,360149815945.03,364081838.12,30514043057.09,640386969.05,0.921891819901046,0.0016392275719739019,47.649381595563874,0.07810818009895411,83.81094540352404,0.39066385900212
601187,XMYH,2024,Regional (<1T),407794724235.86,375425635263.59,1007280476.44,32369088972.27,729837408.5,0.9206240614492395,0.001789717632731995,44.35109600478913,0.07937593855076064,32.13512991602008,0.40779472423586
601229,SHYH,2020,Mid-size (1T-5T),2462144021000.0,2271205002000.0,3376745000.0,190939019000.0,541129000.0,0.9224501014678864,0.00021977958859621072,352.85305167529367,0.07754989853211353,56.545288139909886,2.462144021
601229,SHYH,2021,Mid-size (1T-5T),2653198679000.0,2447430234000.0,2464957000.0,205768445000.0,564813000.0,0.9224451426767802,0.000212880024579569,364.31251582382134,0.0775548573232197,83.47749879612505,2.653198679
601229,SHYH,2022,Mid-size (1T-5T),2882182545000.0,2665017249000.0,2359444000.0,217165296000.0,582601000.0,0.9246524838002584,0.0002021388274003304,372.7513272376807,0.07534751619974162,92.04087742705485,2.882182545
601229,SHYH,2023,Mid-size (1T-5T),3085516473000.0,2846467311000.0,4229610000.0,239049162000.0,470332000.0,0.9225253975819562,0.0001524321792204543,508.25621475893627,0.07747460241804387,56.518015136147305,3.085516473
601229,SHYH,2024,Mid-size (1T-5T),3226948963000.0,2979824335000.0,5235085000.0,247124628000.0,467211000.0,0.9234184888470454,0.00014478413056946758,528.9358084462908,0.07658151115295467,47.20546619586884,3.226948963
601288,NYYH,2020,Large (>5T),27296753000000.0,25132374000000.0,22635000000.0,2164379000000.0,11031000000.0,0.9207092872914225,0.0004041139984671437,196.20877526969448,0.07929071270857746,95.62089684117517,27.296753
601288,NYYH,2021,Large (>5T),29069155000000.0,26647796000000.0,32831000000.0,2421359000000.0,6754000000.0,0.9167034955092433,0.0002323424949916845,358.5074030204323,0.08329650449075661,73.75221589351527,29.069155
601288,NYYH,2022,Large (>5T),33927533000000.0,31253082000000.0,37115000000.0,2674451000000.0,6039000000.0,0.9211716631445027,0.00017799702678057965,442.8632223878125,0.07882833685549727,72.0584938704028,33.927533
601288,NYYH,2023,Large (>5T),39872989000000.0,36976122000000.0,41506000000.0,2896867000000.0,7619000000.0,0.9273476337577803,0.00019108173706265162,380.21617010106314,0.07265236624221977,69.79393340721823,39.872989
601288,NYYH,2024,Large (>5T),43553293000000.0,40543004000000.0,60211000000.0,3010289000000.0,6567000000.0,0.9308826315383316,0.00015078079170729983,458.3963758184864,0.06911736846166833,49.99566524389231,43.553293
601328,JTYH,2020,Large (>5T),10795571000000.0,9958894000000.0,61000000.0,836677000000.0,11566000000.0,0.9224981244623374,0.0010713652848932215,72.33935673525852,0.07750187553766262,13716.016393442624,10.795571
601328,JTYH,2021,Large (>5T),11665757000000.0,10688521000000.0,-4177000000.0,977236000000.0,12589000000.0,0.9162303826489785,0.0010791412850447682,77.62618158709985,0.08376961735102145,-233.95642805841513,11.665757
601328,JTYH,2022,Large (>5T),12992419000000.0,11956679000000.0,-3618000000.0,1035740000000.0,12331000000.0,0.9202812039851855,0.0009490919281467139,83.99480982888655,0.07971879601481449,-286.2741846323936,12.992419
601328,JTYH,2023,Large (>5T),14060472000000.0,12961022000000.0,4126000000.0,1099450000000.0,11420000000.0,0.9218056122155786,0.0008122060198263615,96.27408056042032,0.07819438778442146,266.46873485215707,14.060472
601328,JTYH,2024,Large (>5T),14900717000000.0,13745120000000.0,15827000000.0,1155597000000.0,11291000000.0,0.9224468862807071,0.0007577487714181808,102.34673633867682,0.07755311371929284,73.01427939596891,14.900717
601398,GSYH,2020,Large (>5T),33471851000000.0,30649771000000.0,-18874000000.0,2822080000000.0,15801000000.0,0.9156879612065673,0.0004720683059923994,178.60135434466173,0.08431203879343273,-149.52209388576878,33.471851
